City,Region
DEQEL ,Beer Sheva 
DERIG'AT ,Beer Sheva 
DEVIRA ,Beer Sheva 
DEVORA ,Afula 
DIMONA ,Beer Sheva 
DISHON ,Tzefat 
DOLEV ,Jerusalem 
DOR ,Hadera 
DOROT ,Ashkelon 
DOVEV ,Tzefat 
EFRAT ,Jerusalem 
EILABUN ,Tiberias 
EIN AL-ASAD ,Tzefat 
EIN HOD ,Hadera 
EIN MAHEL ,Nof HaGalil 
EIN NAQQUBA ,Jerusalem 
EIN QINIYYE ,Tzefat 
EIN RAFA ,Jerusalem 
EL'AD ,Rosh Haayin 
EL'AZAR ,Jerusalem 
EL-ROM ,Tzefat 
ELAT ,Eilat 
ELI ,Ariel 
ELI AL ,Tiberias 
ELIAV ,Ashkelon 
ELIFAZ ,Eilat 
ELIFELET ,Tzefat 
ELISHAMA ,Kfar Saba 
ELON ,Acre 
ELON MORE ,Ariel 
ELOT ,Eilat 
ELQANA ,Rosh Haayin 
ELQOSH ,Acre 
ELYAKHIN ,Hadera 
ELYAQIM ,Afula 
ELYASHIV ,Hadera 
EMUNIM ,Ashkelon 
EN AYYALA ,Hadera 
EN DOR ,Afula 
EN GEDI ,Beer Sheva 
EN GEV ,Tiberias 
EN HABESOR ,Beer Sheva 
EN HAEMEQ ,Afula 
EN HAHORESH ,Natanya 
EN HAMIFRAZ ,Acre 
EN HANAZIV ,Afula 
EN HAROD (IHUD) ,Afula 
EN HAROD(ME'UHAD) ,Afula 
EN HASHELOSHA ,Beer Sheva 
EN HASHOFET ,Afula 
EN HAZEVA ,Eilat 
EN HOD ,Hadera 
EN IRON ,Hadera 
EN KAREM-B.S.HAQLA'I ,Jerusalem 
EN KARMEL ,Hadera 
EN SARID ,Natanya 
EN SHEMER ,Hadera 
EN TAMAR ,Beer Sheva 
EN WERED ,Natanya 
EN YA'AQOV ,Acre 
EN YAHAV ,Eilat 
EN ZIWAN ,Tzefat 
EN ZURIM ,Ashkelon 
ENAT ,Rosh Haayin 
ENAV ,Natanya 
EREZ ,Ashkelon 
ESHBOL ,Beer Sheva 
ESHEL HANASI ,Beer Sheva 
ESHHAR ,Karmiel 
ESHKOLOT ,Jerusalem 
ESHTA'OL ,Beit Shemesh 
ETAN ,Ashkelon 
ETANIM ,Beit Shemesh 
ETGAR ,Karmiel 
EVEN MENAHEM ,Acre 
EVEN SAPPIR ,Jerusalem 
EVEN SHEMU'EL ,Ashkelon 
EVEN YEHUDA ,Natanya 
EVEN YIZHAQ(GAL'ED) ,Afula 
EVRON ,Acre 
EYAL ,Kfar Saba 
EZ EFRAYIM ,Petah Tikva 
EZER ,Ashkelon 
EZUZ ,Beer Sheva 
FASSUTA ,Acre 
FUREIDIS ,Hadera 
GA'ASH ,Natanya 
GA'TON ,Acre 
GADISH ,Afula 
GADOT ,Tzefat 
GAL'ON ,Ashkelon 
GAN HADAROM ,Rehovot 
GAN HASHOMERON ,Hadera 
GAN HAYYIM ,Kfar Saba 
GAN NER ,Afula 
GAN SHELOMO ,Rehovot 
GAN SHEMU'EL ,Hadera 
GAN SOREQ ,Rehovot 
GAN YAVNE ,Rehovot 
GAN YOSHIYYA ,Natanya 
GANNE AM ,Kfar Saba 
GANNE HADAR ,Ramla 
GANNE MODIIN ,Jerusalem 
GANNE TAL ,Rehovot 
GANNE TIQWA ,Petah Tikva 
GANNE YOHANAN ,Rehovot 
GANNOT ,Ramla 
GANNOT HADAR ,Natanya 
GAT RIMMON ,Petah Tikva 
GAT(QIBBUZ) ,Ashkelon 
GAZIT ,Afula 
GE'A ,Ashkelon 
GE'ALYA ,Rehovot 
GE'ULE TEMAN ,Hadera 
GE'ULIM ,Natanya 
GEDERA ,Rehovot 
GEFEN ,Beit Shemesh 
GELIL YAM ,Herzliya 
GEROFIT ,Eilat 
GESHER ,Tiberias 
GESHER HAZIW ,Acre 
GESHUR ,Tiberias 
GEVA ,Afula 
GEVA KARMEL ,Hadera 
GEVA BINYAMIN ,Jerusalem 
GEVA'OT BAR ,Beer Sheva 
GEVAR'AM ,Ashkelon 
GEVAT ,Afula 
GEVIM ,Ashkelon 
GEVULOT ,Beer Sheva 
GEZER ,Ramla 
GHAJAR ,Tzefat 
GIBBETON ,Rehovot 
GID'ONA ,Afula 
GILAT ,Beer Sheva 
GILGAL ,Afula 
GILON ,Karmiel 
GIMZO ,Ramla 
GINNATON ,Ramla 
GINNEGAR ,Afula 
GINNOSAR ,Tiberias 
GITTA ,Acre 
GITTIT ,Afula 
GIV'AT AVNI ,Tiberias 
GIV'AT BRENNER ,Rehovot 
GIV'AT ELA ,Afula 
GIV'AT HASHELOSHA ,Rosh Haayin 
GIV'AT HAYYIM (IHUD) ,Natanya 
GIV'AT HAYYIM(ME'UHA ,Natanya 
GIV'AT HEN ,Kfar Saba 
GIV'AT KOAH ,Petah Tikva 
GIV'AT NILI ,Hadera 
GIV'AT OZ ,Afula 
GIV'AT SHAPPIRA ,Natanya 
GIV'AT SHEMESH ,Beit Shemesh 
GIV'AT SHEMU'EL ,Petah Tikva 
GIV'AT YE'ARIM ,Beit Shemesh 
GIV'AT YESHA'YAHU ,Beit Shemesh 
GIV'AT YO'AV ,Tiberias 
GIV'AT ZE'EV ,Jerusalem 
GIV'ATAYIM ,Ramat Gan 
GIV'ATI ,Ashkelon 
GIV'OLIM ,Beer Sheva 
GIV'ON HAHADASHA ,Jerusalem 
GIZO ,Beit Shemesh 
GONEN ,Tzefat 
GOREN ,Acre 
GORNOT HAGALIL ,Acre 
HABONIM ,Hadera 
HAD-NES ,Tiberias 
HADAR AM ,Natanya 
HADERA ,Hadera 
HADID ,Ramla 
HAFEZ HAYYIM ,Rehovot 
HAGGAI ,Jerusalem 
HAGOR ,Petah Tikva 
HAGOSHERIM ,Tzefat 
HAHOTERIM ,Hadera 
HAIFA ,Haifa 
HALUZ ,Karmiel 
HAMA'PIL ,Hadera 
HAMADYA ,Afula 
HAMAM ,Tiberias 
HAMRA ,Afula 
HANITA ,Acre 
HANNATON ,Afula 
HANNI'EL ,Natanya 
HAOGEN ,Natanya 
HAON ,Tiberias 
HAR ADAR ,Jerusalem 
HAR AMASA ,Beer Sheva 
HAR GILLO ,Jerusalem 
HAR'EL ,Beit Shemesh 
HARARIT ,Karmiel 
HARASHIM ,Karmiel 
HARDUF ,Afula 
HARISH ,Hadera 
HARUZIM ,Natanya 
HASHMONA'IM ,Jerusalem 
HASOLELIM ,Afula 
HASPIN ,Tiberias 
HAVAZZELET HASHARON ,Natanya 
HAWASHLA ,Beer Sheva 
HAYOGEV ,Afula 
HAZAV ,Ashkelon 
HAZERIM ,Beer Sheva 
HAZEVA ,Eilat 
HAZON ,Tiberias 
HAZOR HAGELILIT ,Tzefat 
HAZOR-ASHDOD ,Ashkelon 
HAZORE'IM ,Tiberias 
HAZOREA ,Afula 
HEFZI-BAH ,Afula 
HELEZ ,Ashkelon 
HEMED ,Ramla 
HEREV LE'ET ,Hadera 
HERMESH ,Hadera 
HERUT ,Natanya 
HERZELIYYA ,Herzliya 
HEVER ,Afula 
HIBBAT ZIYYON ,Hadera 
HILLA ,Acre 
HINNANIT ,Hadera 
HOD HASHARON ,Kfar Saba 
HODAYOT ,Tiberias 
HODIYYA ,Ashkelon 
HOFIT ,Natanya 
HOGLA ,Hadera 
HOLIT ,Beer Sheva 
HOLON ,Holon 
HORESHIM ,Rosh Haayin 
HOSEN ,Acre 
HOSHA'AYA ,Afula 
HUJEIRAT (DAHRA) ,Acre 
HULATA ,Tzefat 
HULDA ,Ramla 
HUQOQ ,Tiberias 
HURA ,Beer Sheva 
HURFEISH ,Acre 
HUSSNIYYA ,Karmiel 
HUZAYYEL ,Beer Sheva 
I'BILLIN ,Acre 
IBBIM ,Ashkelon 
IBTIN ,Haifa 
IDDAN ,Beer Sheva 
IKSAL ,Afula 
ILANIYYA ,Tiberias 
ILUT ,Nof HaGalil 
IMMANU'EL ,Rosh Haayin 
IR OVOT ,Beer Sheva 
IRUS ,Rehovot 
ISIFYA ,Haifa 
ITAMAR ,Ariel 
JAAT ,Hadera 
JALJULYE ,Kfar Saba 
JERUSALEM ,Jerusalem 
JISH(GUSH HALAV) ,Tzefat 
JISR AZ-ZARQA ,Hadera 
JUDEIDE-MAKER ,Acre 
JULIS ,Acre 
JUNNABIB ,Beer Sheva 
KA'ABIYYE-TABBASH-HA ,Nof HaGalil 
KABRI ,Acre 
KABUL ,Acre 
KADDITA ,Tzefat 
KADOORIE ,Tiberias 
KAFAR BARA ,Petah Tikva 
KAFAR KAMA ,Tiberias 
KAFAR KANNA ,Nof HaGalil 
KAFAR MANDA ,Nof HaGalil 
KAFAR MISR ,Afula 
KAFAR QARA ,Hadera 
KAFAR QASEM ,Petah Tikva 
KAFAR YASIF ,Acre 
KAHAL ,Tzefat 
KALLANIT ,Tiberias 
KAMMON ,Karmiel 
KANAF ,Tiberias 
KANNOT ,Ashkelon 
KAOKAB ABU AL-HIJA ,Acre 
KARE DESHE ,Tiberias 
KARKOM ,Tzefat 
KARME QATIF ,Ashkelon 
KARME YOSEF ,Ramla 
KARME ZUR ,Jerusalem 
KARMEL ,Jerusalem 
KARMI'EL ,Karmiel 
KARMIYYA ,Ashkelon 
KEFAR ADUMMIM ,Jerusalem 
KEFAR AHIM ,Ashkelon 
KEFAR AVIV ,Rehovot 
KEFAR AVODA ,Natanya 
KEFAR AZZA ,Ashkelon 
KEFAR BARUKH ,Afula 
KEFAR BIALIK ,Haifa 
KEFAR BILU ,Rehovot 
KEFAR BIN NUN ,Ramla 
KEFAR BLUM ,Tzefat 
KEFAR DANIYYEL ,Ramla 
KEFAR EZYON ,Jerusalem 
KEFAR GALLIM ,Haifa 
KEFAR GID'ON ,Afula 
KEFAR GIL'ADI ,Tzefat 
KEFAR GLIKSON ,Hadera 
KEFAR HABAD ,Ramla 
KEFAR HAHORESH ,Afula 
KEFAR HAMAKKABI ,Haifa 
KEFAR HANAGID ,Rehovot 
KEFAR HANANYA ,Tzefat 
KEFAR HANASI ,Tzefat 
KEFAR HANO'AR HADATI ,Haifa 
KEFAR HAORANIM ,Jerusalem 
KEFAR HARIF ,Ashkelon 
KEFAR HARO'E ,Hadera 
KEFAR HARUV ,Tiberias 
KEFAR HASIDIM ALEF ,Haifa 
KEFAR HASIDIM BET ,Haifa 
KEFAR HAYYIM ,Natanya 
KEFAR HESS ,Natanya 
KEFAR HITTIM ,Tiberias 
KEFAR HOSHEN ,Tzefat 
KEFAR KISH ,Tiberias 
KEFAR MALAL ,Kfar Saba 
KEFAR MASARYK ,Acre 
KEFAR MAYMON ,Beer Sheva 
KEFAR MENAHEM ,Ashkelon 
KEFAR MONASH ,Natanya 
KEFAR MORDEKHAY ,Rehovot 
KEFAR NETTER ,Natanya 
KEFAR PINES ,Hadera 
KEFAR ROSH HANIQRA ,Acre 
KEFAR ROZENWALD(ZAR. ,Acre 
KEFAR RUPPIN ,Afula 
KEFAR RUT ,Ramla 
KEFAR SAVA ,Kfar Saba 
KEFAR SHAMMAY ,Tzefat 
KEFAR SHEMARYAHU ,Herzliya 
KEFAR SHEMU'EL ,Ramla 
KEFAR SILVER ,Ashkelon 
KEFAR SIRKIN ,Petah Tikva 
KEFAR SZOLD ,Tzefat 
KEFAR TAPPUAH ,Ariel 
KEFAR TAVOR ,Tiberias 
KEFAR TRUMAN ,Ramla 
KEFAR URIYYA ,Beit Shemesh 
KEFAR VITKIN ,Natanya 
KEFAR WARBURG ,Ashkelon 
KEFAR WERADIM ,Acre 
KEFAR YA'BEZ ,Natanya 
KEFAR YEHEZQEL ,Afula 
KEFAR YEHOSHUA ,Afula 
KEFAR YONA ,Natanya 
KEFAR ZETIM ,Tiberias 
KEFAR ZOHARIM ,Beit Shemesh 
KELIL ,Acre 
KEMEHIN ,Beer Sheva 
KERAMIM ,Beer Sheva 
KEREM BEN SHEMEN ,Ramla 
KEREM BEN ZIMRA ,Tzefat 
KEREM MAHARAL ,Hadera 
KEREM SHALOM ,Beer Sheva 
KEREM YAVNE(YESHIVA) ,Rehovot 
KESALON ,Beit Shemesh 
KHAWALED ,Haifa 
KHAWALED ,Haifa 
KINNERET(MOSHAVA) ,Tiberias 
KINNERET(QEVUZA) ,Tiberias 
KISHOR ,Karmiel 
KISRA-SUMEI ,Acre 
KISSUFIM ,Beer Sheva 
KOCHLEA ,Beer Sheva 
KOKHAV HASHAHAR ,Jerusalem 
KOKHAV MIKHA'EL ,Ashkelon 
KOKHAV YA'AQOV ,Jerusalem 
KOKHAV YA'IR ,Kfar Saba 
KORAZIM ,Tzefat 
KUSEIFE ,Beer Sheva 
LAHAV ,Beer Sheva 
LAHAVOT HABASHAN ,Tzefat 
LAHAVOT HAVIVA ,Hadera 
LAKHISH ,Ashkelon 
LAPPID ,Ramla 
LAPPIDOT ,Acre 
LAQYE ,Beer Sheva 
LAVI ,Tiberias 
LAVON ,Karmiel 
LEHAVIM ,Beer Sheva 
LI-ON ,Beit Shemesh 
LIMAN ,Acre 
LIVNIM ,Tiberias 
LOD ,Ramla 
LOHAME HAGETA'OT ,Acre 
LOTAN ,Eilat 
LOTEM ,Karmiel 
LUZIT ,Beit Shemesh 
MA'AGAN ,Tiberias 
MA'AGAN MIKHA'EL ,Hadera 
MA'ALE ADUMMIM ,Jerusalem 
MA'ALE AMOS ,Jerusalem 
MA'ALE EFRAYIM ,Afula 
MA'ALE GAMLA ,Tiberias 
MA'ALE GILBOA ,Afula 
MA'ALE HAHAMISHA ,Beit Shemesh 
MA'ALE IRON ,Afula 
MA'ALE LEVONA ,Ariel 
MA'ALE MIKHMAS ,Jerusalem 
MA'ALOT-TARSHIHA ,Acre 
MA'ANIT ,Hadera 
MA'AS ,Petah Tikva 
MA'BAROT ,Natanya 
MA'GALIM ,Beer Sheva 
MA'ON ,Jerusalem 
MA'OR ,Hadera 
MA'OZ HAYYIM ,Afula 
MA'YAN BARUKH ,Tzefat 
MA'YAN ZEVI ,Hadera 
MABBU'IM ,Beer Sheva 
MAGEN ,Beer Sheva 
MAGEN SHA'UL ,Afula 
MAGGAL ,Hadera 
MAGSHIMIM ,Petah Tikva 
MAHANAYIM ,Tzefat 
MAHANE BILDAD ,Beer Sheva 
MAHANE HILLA ,Rishon LeTsiyon 
MAHANE MIRYAM ,Ashkelon 
MAHANE TALI ,Beer Sheva 
MAHANE TEL NOF ,Rehovot 
MAHANE YAFA ,Beer Sheva 
MAHANE YATTIR ,Beer Sheva 
MAHANE YEHUDIT ,Afula 
MAHANE YOKHVED ,Eilat 
MAHSEYA ,Beit Shemesh 
MAJD AL-KURUM ,Acre 
MAJDAL SHAMS ,Tzefat 
MAKCHUL ,Beer Sheva 
MALKISHUA ,Afula 
MALKIYYA ,Tzefat 
MANOF ,Karmiel 
MANOT ,Acre 
MANSHIYYET ZABDA ,Afula 
MARGALIYYOT ,Tzefat 
MAS'ADE ,Tzefat 
MAS'UDIN AL-'AZAZME ,Beer Sheva 
MASH'ABBE SADE ,Beer Sheva 
MASH'EN ,Ashkelon 
MASKIYYOT ,Jerusalem 
MASLUL ,Beer Sheva 
MASSAD ,Tiberias 
MASSADA ,Tiberias 
MASSU'A ,Afula 
MASSUOT YIZHAQ ,Ashkelon 
MATTA ,Beit Shemesh 
MATTAN ,Petah Tikva 
MATTAT ,Acre 
MATTITYAHU ,Jerusalem 
MAVQI'IM ,Ashkelon 
MAZKERET BATYA ,Rehovot 
MAZLIAH ,Ramla 
MAZOR ,Petah Tikva 
MAZRA'A ,Acre 
MAZZUVA ,Acre 
ME AMMI ,Hadera 
ME'IR SHEFEYA ,Hadera 
ME'ONA ,Acre 
MEFALLESIM ,Ashkelon 
MEGADIM ,Hadera 
MEGIDDO ,Afula 
MEHOLA ,Afula 
MEISER ,Hadera 
MEKHORA ,Afula 
MELE'A ,Afula 
MELILOT ,Beer Sheva 
MENAHEMYA ,Tiberias 
MENNARA ,Tzefat 
MENUHA ,Ashkelon 
MERAV ,Afula 
MERHAV AM ,Beer Sheva 
MERHAVYA(MOSHAV) ,Afula 
MERHAVYA(QIBBUZ) ,Afula 
MERKAZ SHAPPIRA ,Ashkelon 
MEROM GOLAN ,Tzefat 
MERON ,Tzefat 
MESHAR ,Rehovot 
MESHHED ,Nof HaGalil 
MESILLAT ZIYYON ,Beit Shemesh 
MESILLOT ,Afula 
METAR ,Beer Sheva 
METAV ,Afula 
METULA ,Tzefat 
MEVASSERET ZIYYON ,Jerusalem 
MEVO BETAR ,Jerusalem 
MEVO DOTAN ,Hadera 
MEVO HAMMA ,Tiberias 
MEVO HORON ,Ramla 
MEVO MODI'IM ,Ramla 
MEVO'OT YAM ,Natanya 
MEVO'OT YERIHO ,Jerusalem 
MEZADOT YEHUDA ,Jerusalem 
MEZAR ,Tiberias 
MEZER ,Hadera 
MI'ELYA ,Acre 
MIDRAKH OZ ,Afula 
MIDRESHET BEN GURION ,Beer Sheva 
MIDRESHET RUPPIN ,Natanya 
MIGDAL ,Tiberias 
MIGDAL HAEMEQ ,Afula 
MIGDAL OZ ,Jerusalem 
MIGDALIM ,Ariel 
MIKHMANNIM ,Karmiel 
MIKHMORET ,Natanya 
MIQWE YISRA'EL ,Holon 
MISGAV AM ,Tzefat 
MISGAV DOV ,Rehovot 
MISHMAR AYYALON ,Ramla 
MISHMAR DAWID ,Ramla 
MISHMAR HAEMEQ ,Afula 
MISHMAR HANEGEV ,Beer Sheva 
MISHMAR HASHARON ,Natanya 
MISHMAR HASHIV'A ,Ramla 
MISHMAR HAYARDEN ,Tzefat 
MISHMAROT ,Hadera 
MISHMERET ,Natanya 
MITSPE ILAN ,Hadera 
MIVTAHIM ,Beer Sheva 
MIZPA ,Tiberias 
MIZPE AVIV ,Karmiel 
MIZPE NETOFA ,Afula 
MIZPE RAMON ,Beer Sheva 
MIZPE SHALEM ,Jerusalem 
MIZPE YERIHO ,Jerusalem 
MIZRA ,Afula 
MODI'IN ILLIT ,Jerusalem 
MODI'IN-MAKKABBIM-RE ,Ramla 
MOLEDET ,Afula 
MORAN ,Karmiel 
MORESHET ,Karmiel 
MOZA ILLIT ,Jerusalem 
MUGHAR ,Tiberias 
MUQEIBLE ,Afula 
NA'ALE ,Jerusalem 
NA'AN ,Ramla 
NA'ARAN ,Afula 
NA'URA ,Afula 
NAAMA ,Jerusalem 
NAHAL ESHBAL ,Karmiel 
NAHAL HEMDAT ,Afula 
NAHAL OZ ,Ashkelon 
NAHAL SHITTIM ,Eilat 
NAHALA ,Ashkelon 
NAHALAL ,Afula 
NAHALI'EL ,Jerusalem 
NAHAM ,Beit Shemesh 
NAHARIYYA ,Acre 
NAHEF ,Karmiel 
NAHSHOLIM ,Hadera 
NAHSHON ,Beit Shemesh 
NAHSHONIM ,Petah Tikva 
NASASRA ,Beer Sheva 
NATAF ,Beit Shemesh 
NATUR ,Tiberias 
NAVE ,Beer Sheva 
NAZARETH ,Nof HaGalil 
NE'OT GOLAN ,Tiberias 
NE'OT HAKIKKAR ,Beer Sheva 
NE'OT MORDEKHAY ,Tzefat 
NE'URIM ,Natanya 
NEGBA ,Ashkelon 
NEGOHOT ,Jerusalem 
NEHALIM ,Petah Tikva 
NEHORA ,Ashkelon 
NEHUSHA ,Beit Shemesh 
NEIN ,Afula 
NES AMMIM ,Acre 
NES HARIM ,Beit Shemesh 
NES ZIYYONA ,Rehovot 
NESHER ,Haifa 
NETA ,Ashkelon 
NETA'IM ,Rehovot 
NETANYA ,Natanya 
NETIV HAASARA ,Ashkelon 
NETIV HAGEDUD ,Afula 
NETIV HALAMED-HE ,Beit Shemesh 
NETIV HASHAYYARA ,Acre 
NETIVOT ,Beer Sheva 
NETU'A ,Acre 
NEVATIM ,Beer Sheva 
NEVE TSUF ,Jerusalem 
NEWE ATIV ,Tzefat 
NEWE AVOT ,Hadera 
NEWE DANIYYEL ,Jerusalem 
NEWE ETAN ,Afula 
NEWE HARIF ,Eilat 
NEWE ILAN ,Beit Shemesh 
NEWE MIKHA'EL ,Beit Shemesh 
NEWE MIVTAH ,Ashkelon 
NEWE SHALOM ,Beit Shemesh 
NEWE UR ,Afula 
NEWE YAM ,Hadera 
NEWE YAMIN ,Kfar Saba 
NEWE YARAQ ,Petah Tikva 
NEWE ZIV ,Acre 
